gendered,non_gendered
"Die Bank richtete eine neue Service-Hotline ein, um den kontoinhabenden Personen bei Fragen und Anliegen schnell und effizient zur Seite zu stehen.","Die Bank richtete eine neue Service-Hotline ein, um den Kontoinhabern bei Fragen und Anliegen schnell und effizient zur Seite zu stehen."
Die Flüchtlinge suchten Schutz und Unterstützung in einem neuen Land.,Die Flüchtlinge suchten Schutz und Unterstützung in einem neuen Land.
Das Unternehmen bietet ein umfassendes Angebot für private Bauherr:innen an.,Das Unternehmen bietet ein umfassendes Angebot für private Bauherrinnen an.
Die Evakuierungshilfe leistende Person leistete schnelle und effektive Hilfe.,Die Evakuierungshelferin leistete schnelle und effektive Hilfe.
"Dier Rehasportler_in nutzte die spezielle Sporttherapie, um deren Beweglichkeit zurückzugewinnen.","Die Rehasportlerin nutzte die spezielle Sporttherapie, um ihre Beweglichkeit zurückzugewinnen."
Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.,Bitte bringen Sie Ihre Versichertenkarte zum Termin mit.
Ein kauftechnischer Beruf erfordert oft gute mathematische Kenntnisse.,Ein kaufmännischer Beruf erfordert oft gute mathematische Kenntnisse.
Die Forschungsgemeinde zeigte großes Interesse an den neuen Erkenntnissen.,Die Forscheringemeinde zeigte großes Interesse an den neuen Erkenntnissen.
Dier Clown:in brachte die Kinder zum Lachen.,Der Clown brachte die Kinder zum Lachen.
Ich wurde von einer alleinerziehenden Person aufgezogen.,Ich wurde von einer Alleinerziehenden aufgezogen.
"Dier Zitatgeber_in lieferte die berühmten Worte, die in der Rede verwendet wurden, um die Botschaft zu verstärken.","Die Zitatgeberin lieferte die berühmten Worte, die in der Rede verwendet wurden, um die Botschaft zu verstärken."
Dier Spender/in spendete regelmäßig Blut.,Die Spenderin spendete regelmäßig Blut.
Ich bin die Abteilungsleitung.,Ich bin die Abteilungsleiterin.
Die asketisch lebende Person lebte ein einfaches und zurückgezogenes Leben.,Die Asketin lebte ein einfaches und zurückgezogenes Leben.
Dier Workshopleiter/in erklärte den Teilnehmer/innen die Ziele und den Ablauf des Seminars.,Der Workshopleiter erklärte den Teilnehmern die Ziele und den Ablauf des Seminars.
Die lenkradseitige Tür klemmte und musste repariert werden.,Die Fahrertür klemmte und musste repariert werden.
Das Mitglied des Personalrates vertritt die Interessen der Mitarbeitenden.,Der Personalrat vertritt die Interessen der Mitarbeiter.
Dier Ärzt_in diagnostizierte die Krankheit schnell und genau.,Die Ärztin diagnostizierte die Krankheit schnell und genau.
Deren DozentIntätigkeit umfasst Vorlesungen und Seminare.,Ihre Dozentintätigkeit umfasst Vorlesungen und Seminare.
Dier Guide führte die TouristInnen durch die historischen Stätten der Stadt.,Der Guide führte die Touristen durch die historischen Stätten der Stadt.
Die Auszubildenden lernten die Grundlagen des Handwerks. ,Die Auszubildenden lernten die Grundlagen des Handwerks.
Dier Richter:in verkündete das Urteil im Gerichtssaal.,Der Richter verkündete das Urteil im Gerichtssaal.
Die Maler*infirma beschäftigt eine Vielzahl von Maler*innen.,Die Malerfirma beschäftigt eine Vielzahl von Malern.
Das Familienmitglied unterstützt deren Liebsten Menschen in schwierigen Zeiten,Der Angehöriger unterstützt deren Liebsten Menschen in schwierigen Zeiten
Dier RivalIn war schwer zu besiegen.,Der Rivale war schwer zu besiegen.
Dier StipendiatIn erhielt finanzielle Unterstützung für deren Studium.,Die Stipendiatin erhielt finanzielle Unterstützung für ihr Studium.
Die Seminarleitung führte durch das Programm des Workshops.,Der Seminarleiter führte durch das Programm des Workshops.
Die JägerInnen trainierten ihre Hunde für die Saison.,Die Jäger trainierten ihre Hunde für die Saison.
Dier Botschafter_in wurde ins weiße Haus einbestellt. Dey stellte sich dem schwierigen Gespräch.,Die Botschafterin wurde ins weiße Haus einbestellt. Sie stellte sich dem schwierigen Gespräch.
"Der Patient/innenkontakt fand regelmäßig statt, um den Fortschritt der Therapie zu überwachen.","Der Patientenkontakt fand regelmäßig statt, um den Fortschritt der Therapie zu überwachen."
"Mein Elternteil kommt von der ArbeiterInklasse. Ich bin die erste Person, die studiert hat in der Familie",Mein Elternteil hat kommt von der Arbeiterinklasse. Ich bin die erste Person die studiert hat in der Familie
Dier Gesetzgeber:in beschloss neue Regelungen zum Umweltschutz.,Der Gesetzgeber beschloss neue Regelungen zum Umweltschutz.
Mein*e Arbeitskolleg*in half mir bei einem schwierigen Projekt.,Mein Arbeitskollege half mir bei einem schwierigen Projekt.
Das inhaber_ingeführte Unternehmen legt großen Wert auf Service.,Das inhaberingeführte Unternehmen legt großen Wert auf Service.
Unsere Projektpartner:innen unterstützen uns bei der Umsetzung.,Unsere Projektpartnerinnen unterstützen uns bei der Umsetzung.
Die Ehrenamtlichen engagieren sich aktiv in der Gemeindearbeit.,Die Ehrenamtlichen engagieren sich aktiv in der Gemeindearbeit.
... Fragen Sie Ihre_n Ärzt_in oder Apotheker_in.,... Fragen Sie Ihren Ärztin oder Apothekerin.
Wir haben eine neue Nutzer/ingruppe für Anfänger/innen erstellt.,Wir haben eine neue Nutzergruppe für Anfänger erstellt.
Mit deren Leser_inausweis konnte dey Bücher aus der Bibliothek ausleihen.,Mit seinem Leserausweis konnte er Bücher aus der Bibliothek ausleihen.
"Dier Beobachter/in achtete darauf, dass die Wahl demokratisch ablief.","Die Beobachterin achtete darauf, dass die Wahl demokratisch ablief."
Die Heiratsperson begleitete dem zu der Veranstaltung.,Der Gatte begleitete ihn zu der Veranstaltung.
Dier Geisterfahrer_in verursachte einen schweren Unfall auf der Autobahn.,Der Geisterfahrer verursachte einen schweren Unfall auf der Autobahn.
"Dier Lobbyist:in arbeitete daran, die Interessen derer Klientel in der Politik zu vertreten.","Der Lobbyist arbeitete daran, die Interessen seiner Klientel in der Politik zu vertreten."
Dier Fußballspieler*in schoss das entscheidende Tor.,Die Fußballspielerin schoss das entscheidende Tor.
Die Supervisor*in überwachte die Arbeitsprozesse.,Der Supervisor überwachte die Arbeitsprozesse.
Dier Gäst/inwissenschaftler/in hielt einen Vortrag über deren neuesten Forschungsergebnisse.,Der Gastwissenschaftler hielt einen Vortrag über seine neuesten Forschungsergebnisse.
Dier BetrügerIn wurde für deren illegalen Aktivitäten verhaftet.,Die Betrügerin wurde für ihre illegalen Aktivitäten verhaftet.
Mit genug Humanpower können wir den Auftrag fristgerecht erledigen.,Mit genug Manpower können wir den Auftrag fristgerecht erledigen.
Dier Pförtner:in ließ die Besucher:innen in das Gebäude.,Die Pförtnerin ließ die Besucherinnen in das Gebäude.
Nach dem Studium wurde dey Assessor_in im öffentlichen Dienst.,Nach dem Studium wurde er Assessor im öffentlichen Dienst.
Dier Küchenhelfer/in unterstützte bei der Zubereitung der Mahlzeiten.,Der Küchenhelfer unterstützte bei der Zubereitung der Mahlzeiten.
Dier ElektrikerIn reparierte die defekte Beleuchtung.,Der Elektriker reparierte die defekte Beleuchtung.
In der Grundschule war dey Mitläufer:in und versuchte sich im Hintergrund zu halten. ,In der Grundschule war er Mitläufer und versuchte sich im Hintergrund zu halten. 
"Die Bank richtete eine neue Service-Hotline ein, um den Kontoinhaber:innen bei Fragen und Anliegen schnell und effizient zur Seite zu stehen.","Die Bank richtete eine neue Service-Hotline ein, um den Kontoinhaberinnen bei Fragen und Anliegen schnell und effizient zur Seite zu stehen."
Die Proband/innen mussten verschiedene Tests durchführen.,Die Probandinnen mussten verschiedene Tests durchführen.
Dier Juror:in verkündete das Urteil im Wettbewerb.,Der Juror verkündete das Urteil im Wettbewerb.
Dey bekam deren Führer*inschein gerade rechtzeitig vor dem Urlaub.,Er bekam seinen Führerschein gerade rechtzeitig vor dem Urlaub.
Die Schüler*infirma verkaufte selbstgemachte Produkte auf dem Schulfest und sammelte Geld für ein soziales Projekt.,Die Schülerfirma verkaufte selbstgemachte Produkte auf dem Schulfest und sammelte Geld für ein soziales Projekt.
Dier Meister:in war für die Überwachung der Qualitätssicherung :in der Produktionsabteilung verantwortlich.,Die Meisterin war für die Überwachung der Qualitätssicherung in der Produktionsabteilung verantwortlich.
Der könig:inliche Palast ist eine beliebte Tourist:innenattraktion.,Der königinliche Palast ist eine beliebte Touristinnenattraktion.
Dey kümmerte sich stiefelterlich um die Kinder.,Sie kümmerte sich stiefmütterlich um die Kinder.
Dier Rechte propagierte extreme Ansichten.,Der Rechte propagierte extreme Ansichten.
Dier Kolonialherr:in regierte mit harter Hand.,Der Kolonialherr regierte mit harter Hand.
Die EhegattInnen planten ihren Urlaub gemeInsam.,Die Ehegattinnen planten ihren Urlaub gemeinsam.
Dier Seelsorger:in unterstützte die Menschen in schwierigen Zeiten.,Der Seelsorger unterstützte die Menschen in schwierigen Zeiten.
Die Verteidigung besprach die Details des Falls ausführlich mit den Klient/innen.,Die Verteidigung besprach die Details des Falls ausführlich mit den Klientinnen.
Dier AltkanzlerIn trägt auch nach derer Amtszeit Verantwortung.,Der Altkanzler trägt auch nach seiner Amtszeit Verantwortung.
Die Professor:innen diskutierten über die neuesten Forschungsergebnisse.,Die Professoren diskutierten über die neuesten Forschungsergebnisse.
Dier Täufling wurde in einer feierlichen Zeremonie in die Gemeinde aufgenommen.,Die Täufling wurde in einer feierlichen Zeremonie in die Gemeinde aufgenommen.
"Rund ums Kottbusser Tor gibt es viele Alkoholiker*innen besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie.","Rund ums Kottbusser Tor gibt es viele Alkoholiker besonders am Dienstag Abend, dort gibt es einen Treffpunkt für sie."
Dier Noviz_in lernte schnell die Regeln des Klosters.,Der Novize lernte schnell die Regeln des Klosters.
Dier Ermittler:in sammelte Beweise am Tatort.,Die Ermittlerin sammelte Beweise am Tatort.
Deutschland ist ein:e wichtige:r Handels­partner:in für viele Länder.,Deutschland ist ein wichtiger Handels­partner für viele Länder.
Dier FahrschülerIn machte deren erste Fahrstunde.,Die Fahrschülerin machte ihre erste Fahrstunde.
Das Erwachsenenteam gewann das Turnier.,Die Mannschaft gewann das Turnier.
"Als Wegewart_in ist es meine Aufgabe, die Wanderwege zu überprüfen und sicherzustellen, dass sie gut instand gehalten sind.","Als Wegewartin ist es meine Aufgabe, die Wanderwege zu überprüfen und sicherzustellen, dass sie gut instand gehalten sind."
Missymagazin sucht eine_n Abonnent_in,Missymagazin sucht einen Abonnent
Es handelt sich bei XY um dien Aspirant_in für das Beamt_innenverhältnis.,Es handelt sich bei XY um die Aspirantin für das Beamtinnenverhältnis.
Dier Kolleg/in half dem bei einem schwierigen Projekt und zeigte echte Teamarbeit.,Der Kollege half ihm bei einem schwierigen Projekt und zeigte echte Teamarbeit.
"Bei Familienfeiern erzählen die Geschwister der Eltern gerne Geschichten aus ihrer Kindheit, die alle zum Lachen bringen.","Bei Familienfeiern erzählen die Tanten und Onkel gerne Geschichten aus ihrer Kindheit, die alle zum Lachen bringen."
Als Kauffachkraft für Büromanagement übernimmt dey die Organisation des Büroalltags.,Als Kaufmann für Büromanagement übernimmt er die Organisation des Büroalltags.
Die Musikschaffenden suchten eine Gelegenheit wieder live zu spielen. ,Die Musiker suchten eine Gelegenheit wieder live zu spielen. 
Die Handwerker_innen renovierten das historische Gebäude.,Die Handwerker renovierten das historische Gebäude.
"... Manch einer Person ist gar nicht klar, was dey damit anrichtet.","... Manch einer ist gar nicht klar, was sie damit anrichtet."
Die Rezipient*innen der neuen Studie waren vor allem Fachleute aus der Branche.,Die Rezipientinnen der neuen Studie waren vor allem Fachleute aus der Branche.
"Dier SchlepperIn half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren.","Der Schlepper half dabei, die schweren Container von der Schiffs- zur Lagerhalle zu transportieren."
Endlich konnte dey dier Verfolger_in abhängen und war in Sicherheit.,Endlich konnte sie die Verfolgerin abhängen und war in Sicherheit.
Dey wurde von Gefühlen überwältigt und brach in Tränen aus.,Sie wurde von Gefühlen überwältigt und brach in Tränen aus.
Dier Schüler_in lernte fleißig für die Prüfungen.,Der Schüler lernte fleißig für die Prüfungen.
Dier AnglerIn genießt die Ruhe am Seeufer.,Die Anglerin genießt die Ruhe am Seeufer.
Dier neue Kompetenzträger_in im Team brachte umfangreiche Fachkenntnisse im Projektmanagement mit.,"Der neue Kompetenzträger im Team brachte umfangreiche Fachkenntnisse im Projektmanagement mit.
"
Dier Versuchsleiter*in erklärte den Teilnehmer*innen die nächsten Schritte des Experiments.,Der Versuchsleiter erklärte den Teilnehmern die nächsten Schritte des Experiments.
Die Kauffachkraft führte ihr Geschäft mit Weitsicht und Geschicklichkeit und baute dabei langfristige Beziehungen zu ihren Kund:innen auf.,Der Kaufmann führte sein Geschäft mit Weitsicht und Geschicklichkeit und baute dabei langfristige Beziehungen zu seinen Kunden auf.
Das Opfer des Unfalls wurde sofort ins Krankenhaus gebracht.,Das Opfer des Unfalls wurde sofort ins Krankenhaus gebracht.
"Dier Vermittler/in half dabei, den Streit zwischen den beiden Parteien zu schlichten.","Die Vermittlerin half dabei, den Streit zwischen den beiden Parteien zu schlichten."
Dier Geschäftsführer/in präsentierte die neuen Unternehmensziele.,Der Geschäftsführer präsentierte die neuen Unternehmensziele.
Dier Zivilist_in wurde in der Krisenregion evakuiert.,Der Zivilist wurde in der Krisenregion evakuiert.
Unser Servicezentrum bietet umfassenden Support und Informationen rund um die Uhr.,Unser Kundinzentrum bietet umfassenden Support und Informationen rund um die Uhr.
Dier GeologIn untersuchte die Gesteinsformationen in der Region.,Die Geologin untersuchte die Gesteinsformationen in der Region.
Wir haben eine neue Nutzer_ingruppe für Anfänger_innen erstellt.,Wir haben eine neue Nutzeringruppe für Anfängerinnen erstellt.
"Der Kund/inservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären.","Der Kundenservice steht Ihnen rund um die Uhr zur Verfügung, um Ihre Anliegen zu klären."
Als erwachsene Person hat man viele Verantwortungen zu tragen.,Als Erwachsene hat man viele Verantwortungen zu tragen.
"Wir bieten kundInspezifische Lösungen an, die genau auf die Anforderungen unserer KlientInnen zugeschnitten sind.","Wir bieten kundenspezifische Lösungen an, die genau auf die Anforderungen unserer Klienten zugeschnitten sind."
Dier Industriemechaniker*in reparierte die defekte Maschine in der Fabrik.,Die Industriemechanikerin reparierte die defekte Maschine in der Fabrik.
"Dier KöchIn bereitete das Festessen mit frischen, regionalen Zutaten zu.","Der Koch bereitete das Festessen mit frischen, regionalen Zutaten zu."
Dier Guide führte die Tourist*innen durch die historischen Stätten der Stadt.,Die Guide führte die Touristinnen durch die historischen Stätten der Stadt.
Das Passagier:influgzeug landete sicher am Zielflughafen nach einem langen Flug.,Das Passagierinflugzeug landete sicher am Zielflughafen nach einem langen Flug.
"Bevor Sie den Vertrag unterzeichnen, stellen Sie sicher, dass Sie die Gebühren, einschließlich der Makler_ingebühren, verstanden haben.","Bevor Sie den Vertrag unterzeichnen, stellen Sie sicher, dass Sie die Gebühren, einschließlich der Makleringebühren, verstanden haben."
Dier Bot/in überbrachte die dringende Nachricht schnell und zuverlässig.,Der Bote überbrachte die dringende Nachricht schnell und zuverlässig.
Die Assistenz half der Führungskraft bei der Vorbereitung der Präsentation und koordinierte die Termine.,Die Assistentin half der Managerin bei der Vorbereitung der Präsentation und koordinierte die Termine.
