non_gendered,gendered,predicted
Die Patientenversorgung in der Klinik ist umfassend und umfasst sowohl medizinische als auch pflegerische Aspekte.,Die Patient*inversorgung in der Klinik ist umfassend und umfasst sowohl medizinische als auch pflegerische Aspekte.,Die Patientenversorgung in der Klinik ist umfassend und umfasst sowohl medizinische als auch pflegerische Aspekte.
Der Techniker reparierte das Gerät fachmännisch.,Dier Techniker*in reparierte das Gerät fachkundig.,Der Techniker reparierte das Gerät fachkundig.
Der Delegierte vertrat unser Land bei der internationalen Konferenz.,Dier Delegierte vertrat unser Land bei der internationalen Konferenz.,Der Delegierte vertrat unser Land bei der internationalen Konferenz.
Die Archivare bewahren historische Manuskripte auf.,Die Archivar_innen bewahren historische Manuskripte auf.,Die Archivarinnen bewahren historische Manuskripte auf.
Die Spieleringruppen traten in verschiedenen Disziplinen gegeneinander an.,Die Spieler:ingruppen traten in verschiedenen Disziplinen gegeneinander an.,Die Spielergruppen traten in verschiedenen Disziplinen gegeneinander an.
Medien und politische Beobachter gehen von zwei möglichen Szenarien aus.,Medien und politisch beobachtende Personen gehen von zwei möglichen Szenarien aus.,Medien und politisch beobachtende Personen gehen von zwei möglichen Szenarien aus.
Der Beamte arbeitete im Rathaus.,Dier Beamt:in arbeitete im Rathaus.,Die Beamtin arbeitete im Rathaus.
Die Neffen und Nichten verbrachten den Nachmittag gemeinsam im Park und genossen dabei das sonnige Wetter und ihre Zeit miteinander.,Die Kinder der Geschwister verbrachten den Nachmittag gemeinsam im Park und genossen dabei das sonnige Wetter und ihre Zeit miteinander.,Die Kinder der Geschwister verbrachten den Nachmittag gemeinsam im Park und genossen dabei das sonnige Wetter und ihre Zeit miteinander.
Die Gebäude aus der Gründerinzeit sind architektonisch beeindruckend.,Die Gebäude aus der Gründer_inzeit sind architektonisch beeindruckend.,Die Gebäude aus der Gründerzeit sind architektonisch beeindruckend.
In der Fußgängerinzone gibt es viele Geschäfte und Cafés.,In der Fußgänger/inzone gibt es viele Geschäfte und Cafés.,In der Fußgängerzone gibt es viele Geschäfte und Cafés.
Der Elektroniker arbeitete an der Wartung der komplexen Geräte.,Die Elektrofachkraft arbeitete an der Wartung der komplexen Geräte.,Die Elektrofachkraft arbeitete an der Wartung der komplexen Geräte.
"Die Ausbilder führten souverän durch den Workshop und verstanden es, die Teilnehmer anzuleiten. ","Die Ausbildenden führten souverän durch den Workshop und verstanden es, die Teilnehmenden anzuleiten. ","Die Ausbildenden führten souverän durch den Workshop und verstanden es, die Teilnehmer anzuleiten."
Der Illustrator entwarf die lebhaften Bilder für das Kinderbuch.,Dier Illustrator:in entwarf die lebhaften Bilder für das Kinderbuch.,Die Illustratorin entwarf die lebhaften Bilder für das Kinderbuch.
Der Aussiedler kaufte ein Haus auf Mallorca und genoss seine Rente in vollen Zügen.,Dier Aussiedler:in kaufte ein Haus auf Mallorca und genoss deren Rente in vollen Zügen.,Der Aussiedler kaufte ein Haus auf Mallorca und genoss seine Rente in vollen Zügen.
"An den werten Leser, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An dier werte Leser/in, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet.","An die werte Leserin, ich hoffe, dass Ihnen dieses Buch viel Freude bereitet."
Das ist doch Chefinsache!,Das ist doch eine Sache mit oberster Priorität!,Das ist doch eine Sache mit oberster Priorität!
Die Prokuristen des Unternehmens treffen wesentliche Entscheidungen und vertreten die Firma in rechtlichen Angelegenheiten.,Die Prokurist*innen des Unternehmens treffen wesentliche Entscheidungen und vertreten die Firma in rechtlichen Angelegenheiten.,Die Prokuristinnen des Unternehmens treffen wesentliche Entscheidungen und vertreten die Firma in rechtlichen Angelegenheiten.
Der Sozialmediziner analysierte die gesundheitlichen Auswirkungen sozialer Ungleichheiten.,Dier Sozialmediziner:in analysierte die gesundheitlichen Auswirkungen sozialer Ungleichheiten.,Die Sozialmedizinerin analysierte die gesundheitlichen Auswirkungen sozialer Ungleichheiten.
Der Bearbeiter des Antrags informierte mich über den Stand der Dinge.,Dier Bearbeiter/in des Antrags informierte mich über den Stand der Dinge.,Die Bearbeiterin des Antrags informierte mich über den Stand der Dinge.
Die Schülerzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schüler/inzeitung berichtete über aktuelle Ereignisse an der Schule.,Die Schülerzeitung berichtete über aktuelle Ereignisse an der Schule.
"Die Ergotherapeutin hilft dabei, motorische Fähigkeiten wiederzuerlangen.","Dier Ergotherapeut_in hilft dabei, motorische Fähigkeiten wiederzuerlangen.","Der Ergotherapeut hilft dabei, motorische Fähigkeiten wiederzuerlangen."
Die Alleinerziehende arbeitete in Teilzeit.,Dier Alleinerziehende arbeitete in Teilzeit.,Der Alleinerziehende arbeitete in Teilzeit.
Sehr geehrte Damen und Herren!,Sehr geehrte Persönlichkeiten!,Sehr geehrte Persönlichkeiten!
Der Preisträger wurde für seine herausragende Leistung ausgezeichnet.,Dier Preisträger_in wurde für deren herausragende Leistung ausgezeichnet.,Die Preisträgerin wurde für ihre herausragende Leistung ausgezeichnet.
Der Azubi zeigte großes Engagement und brachte frische Ideen in das Projekt ein. Sein Ausbilder war sehr zufrieden mit ihm.,Dier Azubi zeigte großes Engagement und brachte frische Ideen in das Projekt ein. Deren Ausbilder_in war sehr zufrieden mit denen.,Der Azubi zeigte großes Engagement und brachte frische Ideen in das Projekt ein. His Ausbilder war sehr zufrieden mit ihm.
Die Bibliothekarinnen halfen den Schülerinnen bei der Suche nach Büchern.,Die BibliothekarInnen halfen den SchülerInnen bei der Suche nach Büchern.,Die Bibliothekarinnen halfen den Schülerinnen bei der Suche nach Büchern.
Yasmin ist bei uns als Betreuer im Kindergarten tätig,Yasmin ist bei uns als Betreuer*in im Kindergarten tätig,Yasmin ist bei uns als Betreuerin im Kindergarten tätig
Der erfahrene Kletterer meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.,Dier erfahrene Kletter/in meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.,Der erfahrene Kletter meisterte die schwierige Route am Felsen mit beeindruckender Leichtigkeit.
Die Recruiterin suchte nach geeignetem Personal für die offene Stelle.,Dier RecruiterIn suchte nach geeignetem Personal für die offene Stelle.,Der Recruiter suchte nach geeignetem Personal für die offene Stelle.
Während der Pandemie sicherte das Kurzarbeiteringeld vielen Menschen das Einkommen.,Während der Pandemie sicherte das KurzarbeiterIngeld vielen Menschen das Einkommen.,Während der Pandemie sicherte das Kurzarbeiteringeld vielen Menschen das Einkommen.
Der Informant lieferte der Polizei entscheidende Hinweise.,Dier Informant*in lieferte der Polizei entscheidende Hinweise.,Der Informant lieferte der Polizei entscheidende Hinweise.
Die beiden Landsfrauen trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.,Die beiden Landsleute trafen sich zufällig in der fernen Stadt und freuten sich über die gemeinsame Herkunft.
Der Gründerin des Startups präsentierte ihre Innovationen.,Dier Gründer:in des Startups präsentierte deren Innovationen.,Der Gründer des Startups präsentierte seine Innovationen.
Der Produzent plante die Veröffentlichung des neuen Albums.,Dier Produzent*in plante die Veröffentlichung des neuen Albums.,Der Produzent plante die Veröffentlichung des neuen Albums.
Die Partnerländer arbeiteten in einem internationalen Handelsabkommen zusammen.,Die PartnerInländer arbeiteten in einem internationalen Handelsabkommen zusammen.,Die Partnerländer arbeiteten in einem internationalen Handelsabkommen zusammen.
"Sie ist niemand, die sich viel beschwert.","Dey ist keine Person, die sich viel beschwert.","Sie ist keine Person, die sich viel beschwert."
Der Passagier wartete geduldig auf seinen Flug.,Dier Passagier_in wartete geduldig auf deren Flug.,Die Passagierin wartete geduldig auf ihren Flug.
Die Wanderung für Genießerinnen führte durch malerische Weinberge.,Die Wanderung für Genießer*innen führte durch malerische Weinberge.,Die Wanderung für Genießer führte durch malerische Weinberge.
"Der Berater empfiehlt umfassende Entlassungen, um die Wirtschaftlichkeit zu sichern.","Dier Berater_in empfiehlt umfassende Entlassungen, um die Wirtschaftlichkeit zu sichern.","Der Berater empfiehlt umfassende Entlassungen, um die Wirtschaftlichkeit zu sichern."
Unser treuer Kundenstamm bildet das Fundament unseres langjährigen Erfolgs.,Unser treuer Kund_instamm bildet das Fundament unseres langjährigen Erfolgs.,Unser treuer Kundin bildet das Fundament unseres langjährigen Erfolgs.
Die Partnerinländer arbeiteten in einem internationalen Handelsabkommen zusammen.,Die Partner/inländer arbeiteten in einem internationalen Handelsabkommen zusammen.,Die Partnerländer arbeiteten in einem internationalen Handelsabkommen zusammen.
Der Finalist bereitete sich intensiv auf das letzte Spiel vor.,Dier Finalist/in bereitete sich intensiv auf das letzte Spiel vor.,Die Finalistin bereitete sich intensiv auf das letzte Spiel vor.
Er wurde von Gefühlen übermannt und brach in Tränen aus.,Dey wurde von Gefühlen überwältigt und brach in Tränen aus.,Er wurde von Gefühlen überwältigt und brach in Tränen aus.
Die Benutzerinschnittstelle ist intuitiv und benutzerinfreundlich.,Die BenutzerInschnittstelle ist intuitiv und benutzerInfreundlich.,Die Benutzerinschnittstelle ist intuitiv und benutzerinfreundlich.
Die App ist besonders benutzerfreundlich.,Die App ist besonders benutzungsfreundlich.,Die App ist besonders benutzungsfreundlich.
Die Unterzeichnerin des Vertrags akzeptierte die Bedingungen.,Dier UnterzeichnerIn des Vertrags akzeptierte die Bedingungen.,Der Unterzeichner des Vertrags akzeptierte die Bedingungen.
Die Dönerfrau bereitete den besten Döner der Stadt zu.,Die Dönerfachkraft bereitete den besten Döner der Stadt zu.,Die Dönerfacherin bereitete den besten Döner der Stadt zu.
Jedes Mitglied des Vereins muss einen Beitrag leisten.,Jedes Mitglied des Vereins muss einen Beitrag leisten.,Jedes Mitglied des Vereins muss einen Beitrag leisten.
Viele Mitbürgerinnen engagieren sich in ehrenamtlichen Projekten.,Viele Mitbürger/innen engagieren sich in ehrenamtlichen Projekten.,Viele Mitbürger engagieren sich in ehrenamtlichen Projekten.
Otto Normalverbraucherin ist oft mit alltäglichen Herausforderungen wie Haushaltskosten und Arbeit beschäftigt.,Der Durchschnittsmensch ist oft mit alltäglichen Herausforderungen wie Haushaltskosten und Arbeit beschäftigt.,Der Durchschnittsmensch ist oft mit alltäglichen Herausforderungen wie Haushaltskosten und Arbeit beschäftigt.
Der Treuhänder verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.,Dier Treuhänder_in verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.,Der Treuhänder verwaltete das Vermögen der Verstorbenen und sorgte für eine gerechte Verteilung.
Er ist ein echter Naturbursche und verbringt viel Zeit im Wald.,Dey ist ein echter Naturmensch und verbringt viel Zeit im Wald.,Sie ist ein echter Naturmensch und verbringt viel Zeit im Wald.
Das jährliche Mitarbeitergespräch bietet Raum für Feedback und Zielvereinbarungen.,Das jährliche Mitarbeiter/ingespräch bietet Raum für Feedback und Zielvereinbarungen.,Das jährliche Mitarbeitergespräch bietet Raum für Feedback und Zielvereinbarungen.
Die Endverbraucherin profitiert von den niedrigeren Preisen.,Dier Endverbraucher*in profitiert von den niedrigeren Preisen.,Die Endverbraucherin profitiert von den niedrigeren Preisen.
Unsere Servicepartnerin übernimmt die Wartung der Geräte.,Unser Servicebetrieb übernimmt die Wartung der Geräte.,Unser Servicebetrieb übernimmt die Wartung der Geräte.
Auf dem offiziellen Dokument musste sie ihren Mädchennamen angeben.,Auf dem offiziellen Dokument musste dey deren Geburtsnamen angeben.,Auf dem offiziellen Dokument musste sie ihre Geburtsnamen angeben.
Der DJ legte großartige Musik auf der Party auf.,Die DJ-Person legte großartige Musik auf der Party auf.,Die DJ-Person legte großartige Musik auf der Party auf.
Laut Expertenschätzung wird die Nachfrage steigen.,Laut Einschätzung von Fachleuten wird die Nachfrage steigen.,Laut Einschätzung von Fachleuten wird die Nachfrage steigen.
Der Klimaschützer organisiert eine Demonstration.,Dier KlimaschützerIn organisiert eine Demonstration.,Die Klimaschützerin organisiert eine Demonstration.
"Der Mediator half den beiden streitenden Parteien dabei, eine für beide Seiten akzeptable Lösung zu finden.","Dier Mediator:in half den beiden streitenden Parteien dabei, eine für beide Seiten akzeptable Lösung zu finden.","Die Mediatorin half den beiden streitenden Parteien dabei, eine für beide Seiten akzeptable Lösung zu finden."
Die Bürgerinmeisterin führte eine bürgerinnahe Politik.,Dier Bürger*inmeister*in führte eine bürger*innahe Politik.,Die Bürgermeisterin führte eine bürgerinnahe Politik.
Die Schülerinvertreterin setzte sich für die Belange der Klasse ein.,Dier Schüler_invertreter_in setzte sich für die Belange der Klasse ein.,Der Schülervertreter setzte sich für die Belange der Klasse ein.
Der Skeptiker zweifelte an den wissenschaftlichen Ergebnissen.,Die (an etwas) zweifelnde Person zweifelte an den wissenschaftlichen Ergebnissen.,Der Zweifelnde zweifelte an den wissenschaftlichen Ergebnissen.
Die Reiserückkehrerinnen mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.,Die ReiserückkehrerInnen mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.,Die Reiserückkehrer mussten sich nach der Rückkehr aus dem Ausland einem Gesundheitscheck unterziehen.
"Der Redakteur überarbeitete den Artikel, um ihn für die nächste Ausgabe der Zeitschrift vorzubereiten.","Dier RedakteurIn überarbeitete den Artikel, um ihn für die nächste Ausgabe der Zeitschrift vorzubereiten.","Der Redakteur überarbeitete den Artikel, um ihn für die nächste Ausgabe der Zeitschrift vorzubereiten."
Die Fahrer:intür klemmte und musste repariert werden.,Die Fahrer/intür klemmte und musste repariert werden.,Die Fahrertür klemmte und musste repariert werden.
Der Doktorvater unterstützte den Doktoranden während seiner Dissertation.,Die Promotionsbetreuung unterstützte dier Doktorand*in während deren Dissertation.,Die Promotionsbetreuung unterstützte die Doktorandin während ihre Dissertation.
Otto Normalverbraucher ist oft mit alltäglichen Herausforderungen wie Haushaltskosten und Arbeit beschäftigt.,Otto Normalverbraucher*in ist oft mit alltäglichen Herausforderungen wie Haushaltskosten und Arbeit beschäftigt.,Otto Normalverbraucherin ist oft mit alltäglichen Herausforderungen wie Haushaltskosten und Arbeit beschäftigt.
Es gibt viele Akteure ,Es gibt viele beteiligte Personen,Es gibt viele beteiligte Personen
Der Fetischist sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.,Dier Fetischist/in sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.,Der Fetischist sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.
